description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender
this medication is so bad it ruined my life ive been on this medication since like 2019 i believe i gained a ton of weight i was like 117 and now i  234 pounds and obese i really recommend if your on this medication to change it immediately if its working for you thats good but if its not i recommend changing it because i lost weight since i got off of it,medication bad ruined life ive medication since like believe gained ton weight like pounds obese really recommend medication change immediately working thats good recommend changing lost weight since got,Positif,0.734,     Other,15.5,female
"I was prescribed as a child at 15 years old. It caused me to have muscle spasms in my jaw. I could not open my mouth and was on the verge of breaking my jaw. All the psychiatrist did was lower my dosage, I was forced to take this for 2 years due to my adolescents. Now I have a long term side effect of chronic tmj and I have just recently broke my jaw while eating cereal as an adult, 18 years down the road.",prescribed child years old caused muscle spasms jaw could open mouth verge breaking jaw psychiatrist lower dosage forced take years due adolescents long term side effect chronic tmj recently broke jaw eating cereal adult years road,Négatif,-0.7906,     Bipolar Disorder in Remission,29.5,female
"Working quite well for me.  I have depression due to ptsd and it has helped tremendously.  I have a few side effects but weight gain, etc., are not a factor since I eat a healthy diet.  I have continued to lose weight while taking.  I have a slight tremor at times in my left lower leg but nothing that prohibits me from living.",working quite well depression due ptsd helped tremendously side effects weight gain etc factor since eat healthy diet continued lose weight taking slight tremor times left lower leg nothing prohibits living,Négatif,-0.099,     Additional Medications to Treat Depression,69.5,male
"My kids think this is for szichsophrenia. This is dangerous to translate. Because they are from broken homes and safe to say I am not any longer. It has several uses. But, I use it for depression. Strong.",kids think szichsophrenia dangerous translate broken homes safe say longer several uses use depression strong,Négatif,-0.5719,     Additional Medications to Treat Depression,59.5,female
"I was prescribed as a child at 15 years old. It caused me to have muscle spasms in my jaw. I could not open my mouth and was on the verge of breaking my jaw. All the psychiatrist did was lower my dosage, I was forced to take this for 2 years due to my adolescents. Now I have a long term side effect of chronic tmj and I have just recently broke my jaw while eating cereal as an adult, 18 years down the road.",prescribed child years old caused muscle spasms jaw could open mouth verge breaking jaw psychiatrist lower dosage forced take years due adolescents long term side effect chronic tmj recently broke jaw eating cereal adult years road,Négatif,-0.7906,     Bipolar Disorder in Remission,15.5,nan
"ABILIFY IS POISON. IT CAUSED ME TO BE A COMPULSIVE GAMBLER. IT DID NOT HELP. IT SHOULD BE ILLEGAL. THE COMPANY THAT MADE ABILIFY OR ARIPROPRAZOLE IS SCAMMING U.S. TAXPAYERS BY HAVING MEDICAL INSURANCE PAY OUTRAGEOUS AMOUNTS OF MONEY TO BUY THEIR DRUG THAT SHOULD NEVER BE TAKEN. IT'S A SCAM, AND SO ARE 99% OF THE GO TO DRUGS FOR PYSCHIATRISTS.",abilify poison caused compulsive gambler help illegal company made abilify ariproprazole scamming us taxpayers medical insurance pay outrageous amounts money buy drug never taken scam go drugs pyschiatrists,Négatif,-0.7005,     Schizophrenia,59.5,male
I was having severe aggression and anger towards family. I was put on this med and 2-3 weeks later I felt better. I had less aggression and anger. This med helped me for a while but I was then taken off of it due to its side effects. I had gained 15-20 pounds on it and I was extremely tired. On some nights I was going to bed around 730. It was taking me almost an hour to get up for school. it was great for me but its side effects was the one downside i had against this med.,severe aggression anger towards family put med weeks later felt better less aggression anger med helped taken due side effects gained pounds extremely tired nights going bed around taking almost hour get school great side effects one downside med,Négatif,-0.8399,     Other,15.5,male
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",abilify two years worked great body continued build high tolerance started decently low dose increased every eventually reached max dosage already high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,29.5,female
Ive been on abilify for six years. Ive noticed that it caused a lot of weight gain especially when first starting it. The weight gain doesnt seem that bad once you realize that all your bipolar symptoms are gone. Be aware of restlessness since it causes a ton of that. Im slowly switching off of abilify because the weight gain has been affecting my physical health.,ive abilify six years ive noticed caused lot weight gain especially first starting weight gain doesnt seem bad realize bipolar symptoms gone aware restlessness since causes ton im slowly switching abilify weight gain affecting physical health,Positif,0.8968,     Bipolar I Disorder with Most Recent Episode Mixed,21.5,female
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",abilify two years worked great body continued build high tolerance started decently low dose increased every eventually reached max dosage already high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Other,15.5,male
"This medication made me feel more depressed, I was better off before I began taking it.",medication made feel depressed better began taking,Négatif,-0.1027,     Additional Medications to Treat Depression,59.5,female
"I have Major depression, Bipolar type 2, PTSD, Panic and anxiety disorder and ADHD. Great combo I know. Anyways.... I hate this medication. A week in I started going crazy. I had a crazy panic attacks that made me want to hurt myself and I started having suicidal thoughts. Spoke to my psychiatrist, no longer on it....trying new medication Seroquel. The other medication i'm on is Prozac, my psychiatrist prescribed me this to help with my bipolar disorder. Prozac only helps with my depression.",major depression bipolar type ptsd panic anxiety disorder adhd great combo know anyways hate medication week started going crazy crazy panic attacks made want hurt started suicidal thoughts spoke psychiatrist longer ittrying new medication seroquel medication im prozac psychiatrist prescribed help bipolar disorder prozac helps depression,Négatif,-0.9829,     Additional Medications to Treat Depression,21.5,female
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",abilify caused gain lbs develop type diabetes terrible rash entire body made feel suicidal years addition side effects made episodes night sleep apnea restless legs terrible leg cramps drug years still experience sensation hallucinations intense nightmares night feeling like going die stay drug trust guinea pig ruin life,Négatif,-0.9217,     Additional Medications to Treat Depression,15.5,
it did help with my psychosis but made me really constipated and gave me terrible nightmares my depression was not improving and in less than a month i got sent back to inpatient way more trouble than it was worth,help psychosis made really constipated gave terrible nightmares depression improving less month got sent back inpatient way trouble worth,Négatif,-0.5209,     Other,15.5,transgender
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",abilify two years worked great body continued build high tolerance started decently low dose increased every eventually reached max dosage already high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,15.5,female
Our autistic son was prescribed after experiencing violent tics/outbursts. The medication caused his behaviors to be more frequent when the dosage was increased. We took him off and he now has the behaviors once every couple of days.,autistic son prescribed experiencing violent ticsoutbursts medication caused behaviors frequent dosage increased took behaviors every couple days,Négatif,-0.4215,     Other,15.5,male
On it to long causes stiffness mouth twitching and insatiable appetite. With weight gain,long causes stiffness mouth twitching insatiable appetite weight gain,Positif,0.5267,     Bipolar Disorder in Remission,69.5,female
"I've been on Lexapro for 15 years for dysthymia and bouts of clinical depression. The Lex kept the sharpest corners smoothed off, but only gave me a grey existence.

My current Psychiatrist added 5 mg of Abilify to my medications. The effect has been nothing short of a miracle cure.  I hope Abilify continues to work for me for a very long time.",ive lexapro years dysthymia bouts clinical depression lex kept sharpest corners smoothed gave grey existence current psychiatrist added mg abilify medications effect nothing short miracle cure hope abilify continues work long time,Négatif,-0.5679,     Additional Medications to Treat Depression,69.5,female
"It makes u feel invisble, like u will die, u will gain weight, u will be weak. Ur eyes will be bad. Lifes still wrecked",makes u feel invisble like u die u gain weight u weak ur eyes bad lifes still wrecked,Négatif,-0.6597,     Schizophrenia,29.5,male
This medication made me zone out. I had no idea people were even talking to me. It was extremely expensive. I would not recommend.,medication made zone idea people even talking extremely expensive would recommend,Positif,0.4144,     Additional Medications to Treat Depression,21.5,female
"I took abilify paired with prozac and to simply say- it saved and changed my life. 
I stopped taking it now but will go back on it if needed. 
It is very useful in treating intrusive thoughts and depression!",took abilify paired prozac simply say saved changed life stopped taking go back needed useful treating intrusive thoughts depression,Neutre,0.0258,     Additional Medications to Treat Depression,21.5,nonbinary
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",abilify two years worked great body continued build high tolerance started decently low dose increased every eventually reached max dosage already high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,59.5,female
"It seems to be working ok, although it makes me sleepy, and I constantly feel hungry.",seems working ok although makes sleepy constantly feel hungry,Positif,0.296,     Additional Medications to Treat Depression,39.5,female
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",abilify caused gain lbs develop type diabetes terrible rash entire body made feel suicidal years addition side effects made episodes night sleep apnea restless legs terrible leg cramps drug years still experience sensation hallucinations intense nightmares night feeling like going die stay drug trust guinea pig ruin life,Négatif,-0.9217,     Schizophrenia,49.5,male
"honestly no idea why they prescribe this. Insane weight gain and suicidal ideation, brain zaps, fatigue. gained 30 pounds over 4 months",honestly idea prescribe insane weight gain suicidal ideation brain zaps fatigue gained pounds months,Négatif,-0.0516,     Bipolar Disorder in Remission,21.5,female
"It seems to be working ok, although it makes me sleepy, and I constantly feel hungry.",seems working ok although makes sleepy constantly feel hungry,Positif,0.296,     Additional Medications to Treat Depression,39.5,female
This is good drug to cure schizophrenia,good drug cure schizophrenia,Positif,0.4404,     Schizophrenia,39.5,male
"Was put on this medication for anxiety, terrible outcome.  Had a blackout and was in accident.
Called pharmaceutical company and said not for anxiety. So beware if your Dr. prescribes it for
Anxiety.",put medication anxiety terrible outcome blackout accident called pharmaceutical company said anxiety beware dr prescribes anxiety,Négatif,-0.8519,     Other,39.5,male
its good,good,Positif,0.4404,     Tourette's,15.5,nan
Can't complain - it worked well for me,cant complain worked well,Positif,0.0762,     Tourette's,15.5,female
Essentially I was undiagnosed bipolar for many years. Once I finally got my diagnosis I was put on Abilify and I could see clearly again. It saved my life truly. Yes I have gained weight but I think its also from my own bad habits as well. I still have episodes sometimes but I dont feel hopeless anymore and thats what matters. I feel level the majority of the time so Ill take it.,essentially undiagnosed bipolar many years finally got diagnosis put abilify could see clearly saved life truly yes gained weight think also bad habits well still episodes sometimes dont feel hopeless anymore thats matters feel level majority time ill take,Positif,0.8773,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female
"honestly no idea why they prescribe this. Insane weight gain and suicidal ideation, brain zaps, fatigue. gained 30 pounds over 4 months",honestly idea prescribe insane weight gain suicidal ideation brain zaps fatigue gained pounds months,Négatif,-0.0516,     Additional Medications to Treat Depression,39.5,male
"After adding Abilify to my depression meds, I gained so much weight. They helped my mood, but the added weight gain is unacceptable. I stopped taking it several weeks ago, and it's taking forever to lose the weight I gained.....25-30 lbs! How long does it take to return to normal weight?",adding abilify depression meds gained much weight helped mood added weight gain unacceptable stopped taking several weeks ago taking forever lose weight gained lbs long take return normal weight,Négatif,-0.4019,     Additional Medications to Treat Depression,21.5,female
"honestly no idea why they prescribe this. Insane weight gain and suicidal ideation, brain zaps, fatigue. gained 30 pounds over 4 months",honestly idea prescribe insane weight gain suicidal ideation brain zaps fatigue gained pounds months,Négatif,-0.0516,     Bipolar Disorder in Remission,21.5,male
"After adding Abilify to my depression meds, I gained so much weight. They helped my mood, but the added weight gain is unacceptable. I stopped taking it several weeks ago, and it's taking forever to lose the weight I gained.....25-30 lbs! How long does it take to return to normal weight?",adding abilify depression meds gained much weight helped mood added weight gain unacceptable stopped taking several weeks ago taking forever lose weight gained lbs long take return normal weight,Négatif,-0.4019,     Bipolar Disorder in Remission,21.5,nonbinary
I have been on Abilify 20mg for over 10 years. It has helped my brain. But I was advised to stay on it during pregnancy  My baby was born with Cleft lip and palate.  I have gained 60 kgs and am now obese. I do not recommend taking it for long term. I did research this evening and am really concerned that my life will probably end in my 60's. I have had other health issues while on it. And desperately trying to find something else.,abilify mg years helped brain advised stay pregnancy baby born cleft lip palate gained kgs obese recommend taking long term research evening really concerned life probably end health issues desperately trying find something else,Positif,0.3612,     Mania associated with Bipolar Disorder,39.5,female
This medication worked well for me,medication worked well,Positif,0.2732,     Other,49.5,male
"I love this medication and its always helped greatly! I take 20mg Ablify,0.5 Kolopin and 250mg Effexor once daily which I perfer night time cause they make me tired. Im bummed that ive gained up to 40lbs on ablify its a major side effect. Other than that this drug is a miracle drug and definitely helps with depression.",love medication always helped greatly take mg ablify kolopin mg effexor daily perfer night time cause make tired im bummed ive gained lbs ablify major side effect drug miracle drug definitely helps depression,Positif,0.8519,     Additional Medications to Treat Depression,29.5,female
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced least point suicidal result could eat unable stop ticing long enough years trying stop make sedated whole day tourettes little bit worse lot better even though reduced mg,Négatif,-0.6151,     Additional Medications to Treat Depression,21.5,male
"Abilify was added to already existing bipolar meds (citalopram, carbamazepine) and it has been a miracle for me. It brought me out of the fog of depression I was under.",abilify added already existing bipolar meds citalopram carbamazepine miracle brought fog depression,Neutre,0.0258,     Additional Medications to Treat Depression,49.5,female
Hey y'all i jus wanna say this medicine has worked wonders for me i am on the 10 mg dose n i take it alone. Yes i have gained some weight which i needed jus got to watch what u eat n fight the cravings. It had always helped me get off the hard drugs...FINALLY!!! I never thought i would have the chance to say this.,hey yall jus wanna say medicine worked wonders mg dose n take alone yes gained weight needed jus got watch u eat n fight cravings always helped get hard drugsfinally never thought would chance say,Négatif,-0.1129,     Schizophrenia,29.5,female
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced least point suicidal result could eat unable stop ticing long enough years trying stop make sedated whole day tourettes little bit worse lot better even though reduced mg,Négatif,-0.6151,     Mania associated with Bipolar Disorder,29.5,female
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",abilify caused gain lbs develop type diabetes terrible rash entire body made feel suicidal years addition side effects made episodes night sleep apnea restless legs terrible leg cramps drug years still experience sensation hallucinations intense nightmares night feeling like going die stay drug trust guinea pig ruin life,Négatif,-0.9217,     Schizophrenia,39.5,male
"I love this medication and its always helped greatly! I take 20mg Ablify,0.5 Kolopin and 250mg Effexor once daily which I perfer night time cause they make me tired. Im bummed that ive gained up to 40lbs on ablify its a major side effect. Other than that this drug is a miracle drug and definitely helps with depression.",love medication always helped greatly take mg ablify kolopin mg effexor daily perfer night time cause make tired im bummed ive gained lbs ablify major side effect drug miracle drug definitely helps depression,Positif,0.8519,     Bipolar I Disorder with Most Recent Episode Mixed,21.5,female
I have been on ability for 10 + years Ive worked full time 7 to present.  Its a miracle for me accompanied with therapy.  But what has not worked is the generic no matter the dose its not the same.   I live independently and I thank the medication for this.,ability years ive worked full time present miracle accompanied therapy worked generic matter dose live independently thank medication,Positif,0.8271,     Schizophrenia,39.5,male
I suffered severe depression and anxiety for 20 years despite treatment with multiple medications.  I started taking Abilify 2.5mg and it COMPLETELY changed my life.  A miracle drug for me.,suffered severe depression anxiety years despite treatment multiple medications started taking abilify mg completely changed life miracle drug,Négatif,-0.73,     Additional Medications to Treat Depression,49.5,male
"I was on Abilify for two years or so, it worked great until by body continued to build a high tolerance on it. I started at a decently low dose and had to be increased every now and then. I eventually reached the max dosage- I had already been at a very high dose for my age- and had to be taken off because of the inability to control facial expressions and other muscles (Tardive Dyskinesia).",abilify two years worked great body continued build high tolerance started decently low dose increased every eventually reached max dosage already high dose age taken inability control facial expressions muscles tardive dyskinesia,Positif,0.6124,     Additional Medications to Treat Depression,39.5,female
"I love this medication and its always helped greatly! I take 20mg Ablify,0.5 Kolopin and 250mg Effexor once daily which I perfer night time cause they make me tired. Im bummed that ive gained up to 40lbs on ablify its a major side effect. Other than that this drug is a miracle drug and definitely helps with depression.",love medication always helped greatly take mg ablify kolopin mg effexor daily perfer night time cause make tired im bummed ive gained lbs ablify major side effect drug miracle drug definitely helps depression,Positif,0.8519,     Additional Medications to Treat Depression,29.5,nan
"Treating long-term depression w severe anxiety w celexa and klonopin; and now 2mg abilify for a month.  I am loving the effects it has had on me and personal life.  I have been stuck physically and mentally due to severe accident 3 yrs ago,& wow this has made a huge difference in my quality of life.",treating longterm depression w severe anxiety w celexa klonopin mg abilify month loving effects personal life stuck physically mentally due severe accident yrs ago wow made huge difference quality life,Négatif,-0.5719,     Additional Medications to Treat Depression,39.5,female
Best of drugs until now,best drugs,Positif,0.6369,     Schizophrenia,39.5,female
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,name brand absolutely amazing unfortunately insurance companies cover drug everyday people get generics generics get generics pretty soon taking drywall china work stop drug cannot afford get real one,Positif,0.5291,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,female
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced least point suicidal result could eat unable stop ticing long enough years trying stop make sedated whole day tourettes little bit worse lot better even though reduced mg,Négatif,-0.6151,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female
Bipolar II disorder with anxiety with anxiety. It has helped me tremendously and have been on it for 3 weeks. I notice a calming effect but have energy. My anxiety and suicidal ideations have ceased. I'm excited to see where this medication will take me in life since I've been on the wrong meds for so long.,bipolar ii disorder anxiety anxiety helped tremendously weeks notice calming effect energy anxiety suicidal ideations ceased im excited see medication take life since ive wrong meds long,Négatif,-0.7867,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,female
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,name brand absolutely amazing unfortunately insurance companies cover drug everyday people get generics generics get generics pretty soon taking drywall china work stop drug cannot afford get real one,Positif,0.5291,     Bipolar Disorder in Remission,29.5,female
"Been placed on this med at the hospital with Luvox for OCD and depression. So far, I'm having difficulty sleeping, but otherwise it is too early to tell if it is working. Wil post in several weeks.",placed med hospital luvox ocd depression far im difficulty sleeping otherwise early tell working wil post several weeks,Négatif,-0.7269,     Additional Medications to Treat Depression,29.5,nan
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,taking abilify yrs conjunction cymbalta worked great however gained lbs went cymbalta month ago went abilify days ago dull headaches contribute going abilify someone tell long takes leave system long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,nan
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced least point suicidal result could eat unable stop ticing long enough years trying stop make sedated whole day tourettes little bit worse lot better even though reduced mg,Négatif,-0.6151,     Bipolar Disorder in Remission,29.5,male
The name brand is absolutely amazing unfortunately insurance companies will not cover this drug for everyday people we get the generics and then the generics get generics and pretty soon we're taking drywall from China. And they do not work at all so I have to stop the drug because I cannot afford to get the real one.,name brand absolutely amazing unfortunately insurance companies cover drug everyday people get generics generics get generics pretty soon taking drywall china work stop drug cannot afford get real one,Positif,0.5291,     Bipolar Disorder in Remission,29.5,male
Bipolar II disorder with anxiety with anxiety. It has helped me tremendously and have been on it for 3 weeks. I notice a calming effect but have energy. My anxiety and suicidal ideations have ceased. I'm excited to see where this medication will take me in life since I've been on the wrong meds for so long.,bipolar ii disorder anxiety anxiety helped tremendously weeks notice calming effect energy anxiety suicidal ideations ceased im excited see medication take life since ive wrong meds long,Négatif,-0.7867,     Bipolar Disorder in Remission,39.5,male
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,taking abilify yrs conjunction cymbalta worked great however gained lbs went cymbalta month ago went abilify days ago dull headaches contribute going abilify someone tell long takes leave system long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Other,29.5,male
"Been placed on this med at the hospital with Luvox for OCD and depression. So far, I'm having difficulty sleeping, but otherwise it is too early to tell if it is working. Wil post in several weeks.",placed med hospital luvox ocd depression far im difficulty sleeping otherwise early tell working wil post several weeks,Négatif,-0.7269,     Tourette's,29.5,male
