description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender,topic
"I took this a few years ago after watching the ads on TV for it to help those already on an antidepressant. I noticed no difference, except woke up in the kitchen floor after passing out for the first time in my life. My doctor didn't put it together, but I did after hearing fainting as a side effect on one of the ads and took myself off off it. I don't even remember fainting or feeling dizzy, just woke up on the floor.",took years ago watching ads tv help antidepressant noticed difference woke kitchen floor passing time life doctor didnt did hearing fainting effect ads took dont remember fainting feeling dizzy just woke floor,Positif,0.1103,     Additional Medications to Treat Depression,59.5,female,0
"I started having paranoia and hallucinations recently so my psychiatrist added 5mg pill of Abilify. I have experienced drooling, face drooping, excessive crying and impulses to cry while speaking. Iâ??m electing to go off of this medication to try something different. It did help me seem more focused but the side effects arenâ??t worth it!  I HATE Abilify!",started having paranoia hallucinations recently psychiatrist added pill experienced drooling face drooping excessive crying impulses speaking im electing medication try different did help focused arent worth hate,Positif,0.3678,     Additional Medications to Treat Depression,29.5,male,0
Adds more negatives than it does positives. I started changing my diet and exercising.,adds negatives does positives started changing diet exercising,Positif,0.5267,     Schizophrenia,29.5,male,0
Not cool ussa!!!! I wish i could just a little hint what this is made with!!!! Twist it around make this like a highly additive drug!!!! I wonder who will find the right person or a manufacturer of a substance to figure this one out not cool america!!!!!,cool ussa wish just little hint twist make like highly additive wonder right person manufacturer substance figure cool america,Positif,0.8316,     Schizophrenia,15.5,male,4
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     Additional Medications to Treat Depression,59.5,male,1
Since i started taking Abilify i feel great...,started feel great,Positif,0.6249,     Bipolar Disorder in Remission,15.5,nan,4
I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.,yrs conjunction cymbalta worked great gained lbs went cymbalta month ago went days ago dull headaches contribute going tell long takes leave long start lose weight gain walk lbs treadmill x week,Positif,0.6705,     A Rare Developmental Disorder of Infants,29.5,nan,1
I am gaining weight and this is not what I need right now.  The med. has helped me in one way but gaining weight is an issue.,gaining weight need right med helped way gaining weight issue,Positif,0.6808,     Bipolar Disorder in Remission,69.5,female,0
Other than a huge increase in my weight I swear by Abilify! Has anyone had success with losing weight gained while continuing treatment with Abilify?,huge increase weight swear success losing weight gained continuing treatment,Positif,0.7964,     Bipolar Disorder in Remission,39.5,female,0
"My son developed prediabetes with this medication. I am now weaning him off of it. Please be careful taking this drug, especially if you are diabetic.",son developed prediabetes medication weaning careful especially diabetic,Positif,0.1531,     Mania associated with Bipolar Disorder,29.5,male,4
Lifesaver for me.,lifesaver,Positif,0.5859,     Additional Medications to Treat Depression,69.5,male,1
It is effective but I have gained weight with it and want to get off of it.,effective gained weight want,Positif,0.7184,     Additional Medications to Treat Depression,49.5,female,0
"This med is over priced and does not work , I gained 40mg in two months and that is with diet and exercise.",med priced does work gained months diet exercise,Positif,0.3818,     Schizophrenia,39.5,male,0
Tried Every other medication and Nothing worked. Finally found Abilify and I am feeling great after 3 weeks. Very good medication. I take 10 mg a day once a day. Saved my Life!!!,tried medication worked finally feeling great weeks good medication day day saved life,Positif,0.8834,     Additional Medications to Treat Depression,29.5,female,4
My name is Gay George from San Diego.I live with my mom and boyfriend. I am 35 years old. Abilify helped me live a wonderful life.,gay george san diegoi live mom boyfriend years old helped live wonderful life,Positif,0.5719,     Bipolar Disorder in Remission,39.5,male,0
"Although it worked to augment my antidepressant, it causes significant weight gain.  I could not control my eating, especially carbs.  My blood sugar and HA1C rose. If I didn't stop, I'd be a diabetic in no time.",worked augment antidepressant causes significant weight gain control eating especially carbs blood sugar hac rose didnt stop id diabetic time,Positif,0.7259,     Additional Medications to Treat Depression,59.5,male,0
My best friend like me was on this medication only difference is that my friend commited suicide due to this drug. Instead of helping with my friends high and lows it made my friend lose faith in people in life,best friend like medication difference friend commited suicide instead helping friends high lows friend lose faith people life,Positif,0.9371,     Bipolar Disorder in Remission,29.5,male,4
Started at the smallest dose a few days ago and started noticing the difference. My fear of leaving the house and going to work eased up in a few days. I sweat a lot and can't sleep but hope these go away soon. Totally worth it compared to the life I have had for the past 7 years!,started smallest dose days ago started noticing difference fear leaving house going work eased days sweat lot sleep hope away soon totally worth compared life past years,Positif,0.4754,     Additional Medications to Treat Depression,39.5,female,4
