description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender,topic
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",caused gain lbs develop type diabetes terrible rash entire body feel suicidal years addition episodes night sleep apnea restless legs terrible leg cramps years experience sensation hallucinations intense nightmares night feeling like going die stay trust guinea pig ruin life,Négatif,-0.9217,     Schizophrenia,49.5,male,4
"honestly no idea why they prescribe this. Insane weight gain and suicidal ideation, brain zaps, fatigue. gained 30 pounds over 4 months",honestly idea prescribe insane weight gain suicidal ideation brain zaps fatigue gained pounds months,Négatif,-0.0516,     Bipolar Disorder in Remission,21.5,female,3
"Was put on this medication for anxiety, terrible outcome.  Had a blackout and was in accident.
Called pharmaceutical company and said not for anxiety. So beware if your Dr. prescribes it for
Anxiety.",medication anxiety terrible outcome blackout accident called pharmaceutical company said anxiety beware dr prescribes anxiety,Négatif,-0.8519,     Other,39.5,male,4
Can't complain - it worked well for me,complain worked,Négatif,-0.3612,     Tourette's,15.5,female,2
"honestly no idea why they prescribe this. Insane weight gain and suicidal ideation, brain zaps, fatigue. gained 30 pounds over 4 months",honestly idea prescribe insane weight gain suicidal ideation brain zaps fatigue gained pounds months,Négatif,-0.0516,     Additional Medications to Treat Depression,39.5,male,3
"After adding Abilify to my depression meds, I gained so much weight. They helped my mood, but the added weight gain is unacceptable. I stopped taking it several weeks ago, and it's taking forever to lose the weight I gained.....25-30 lbs! How long does it take to return to normal weight?",adding depression meds gained weight helped mood added weight gain unacceptable stopped weeks ago forever lose weight gained lbs long does return normal weight,Négatif,-0.4019,     Additional Medications to Treat Depression,21.5,female,2
"honestly no idea why they prescribe this. Insane weight gain and suicidal ideation, brain zaps, fatigue. gained 30 pounds over 4 months",honestly idea prescribe insane weight gain suicidal ideation brain zaps fatigue gained pounds months,Négatif,-0.0516,     Bipolar Disorder in Remission,21.5,male,3
"After adding Abilify to my depression meds, I gained so much weight. They helped my mood, but the added weight gain is unacceptable. I stopped taking it several weeks ago, and it's taking forever to lose the weight I gained.....25-30 lbs! How long does it take to return to normal weight?",adding depression meds gained weight helped mood added weight gain unacceptable stopped weeks ago forever lose weight gained lbs long does return normal weight,Négatif,-0.4019,     Bipolar Disorder in Remission,21.5,nonbinary,2
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced point suicidal result eat unable stop ticing long years trying stop make sedated day tourettes little bit worse lot better reduced,Négatif,-0.6151,     Additional Medications to Treat Depression,21.5,male,0
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced point suicidal result eat unable stop ticing long years trying stop make sedated day tourettes little bit worse lot better reduced,Négatif,-0.6151,     Mania associated with Bipolar Disorder,29.5,female,0
"Abilify caused me to gain over 70lbs. develop type 2 diabetes a terrible rash over my entire body & has made me feel suicidal for years. In addition to these side effects it has made me have more episodes at night with my sleep apnea, restless legs and terrible leg cramps. I have been on this drug for 10-15 years still experience sensation hallucinations and intense nightmares, some night feeling like I was going to die. Stay off this drug trust this guinea pig it will ruin your life!",caused gain lbs develop type diabetes terrible rash entire body feel suicidal years addition episodes night sleep apnea restless legs terrible leg cramps years experience sensation hallucinations intense nightmares night feeling like going die stay trust guinea pig ruin life,Négatif,-0.9217,     Schizophrenia,39.5,male,4
I suffered severe depression and anxiety for 20 years despite treatment with multiple medications.  I started taking Abilify 2.5mg and it COMPLETELY changed my life.  A miracle drug for me.,suffered severe depression anxiety years despite treatment multiple medications started completely changed life miracle,Négatif,-0.73,     Additional Medications to Treat Depression,49.5,male,3
"Treating long-term depression w severe anxiety w celexa and klonopin; and now 2mg abilify for a month.  I am loving the effects it has had on me and personal life.  I have been stuck physically and mentally due to severe accident 3 yrs ago,& wow this has made a huge difference in my quality of life.",treating longterm depression w severe anxiety w celexa klonopin month loving personal life stuck physically mentally severe accident yrs ago wow huge difference quality life,Négatif,-0.5719,     Additional Medications to Treat Depression,39.5,female,3
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced point suicidal result eat unable stop ticing long years trying stop make sedated day tourettes little bit worse lot better reduced,Négatif,-0.6151,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female,0
Bipolar II disorder with anxiety with anxiety. It has helped me tremendously and have been on it for 3 weeks. I notice a calming effect but have energy. My anxiety and suicidal ideations have ceased. I'm excited to see where this medication will take me in life since I've been on the wrong meds for so long.,bipolar ii disorder anxiety anxiety helped tremendously weeks notice calming effect energy anxiety suicidal ideations ceased im excited medication life ive wrong meds long,Négatif,-0.7867,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,female,4
"Been placed on this med at the hospital with Luvox for OCD and depression. So far, I'm having difficulty sleeping, but otherwise it is too early to tell if it is working. Wil post in several weeks.",placed med hospital luvox ocd depression far im having difficulty sleeping early tell working wil post weeks,Négatif,-0.7269,     Additional Medications to Treat Depression,29.5,nan,2
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced point suicidal result eat unable stop ticing long years trying stop make sedated day tourettes little bit worse lot better reduced,Négatif,-0.6151,     Bipolar Disorder in Remission,29.5,male,0
Bipolar II disorder with anxiety with anxiety. It has helped me tremendously and have been on it for 3 weeks. I notice a calming effect but have energy. My anxiety and suicidal ideations have ceased. I'm excited to see where this medication will take me in life since I've been on the wrong meds for so long.,bipolar ii disorder anxiety anxiety helped tremendously weeks notice calming effect energy anxiety suicidal ideations ceased im excited medication life ive wrong meds long,Négatif,-0.7867,     Bipolar Disorder in Remission,39.5,male,4
"Been placed on this med at the hospital with Luvox for OCD and depression. So far, I'm having difficulty sleeping, but otherwise it is too early to tell if it is working. Wil post in several weeks.",placed med hospital luvox ocd depression far im having difficulty sleeping early tell working wil post weeks,Négatif,-0.7269,     Tourette's,29.5,male,2
Bipolar II disorder with anxiety with anxiety. It has helped me tremendously and have been on it for 3 weeks. I notice a calming effect but have energy. My anxiety and suicidal ideations have ceased. I'm excited to see where this medication will take me in life since I've been on the wrong meds for so long.,bipolar ii disorder anxiety anxiety helped tremendously weeks notice calming effect energy anxiety suicidal ideations ceased im excited medication life ive wrong meds long,Négatif,-0.7867,     Tourette's,39.5,nan,4
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced point suicidal result eat unable stop ticing long years trying stop make sedated day tourettes little bit worse lot better reduced,Négatif,-0.6151,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,nan,0
Abilify prevented ejaculations for me (a male).    Stopped taking Abilify and immediately back to normal.,prevented ejaculations male stopped immediately normal,Négatif,-0.2023,     Additional Medications to Treat Depression,49.5,male,0
"Been placed on this med at the hospital with Luvox for OCD and depression. So far, I'm having difficulty sleeping, but otherwise it is too early to tell if it is working. Wil post in several weeks.",placed med hospital luvox ocd depression far im having difficulty sleeping early tell working wil post weeks,Négatif,-0.7269,     Additional Medications to Treat Depression,49.5,male,2
Bipolar II disorder with anxiety with anxiety. It has helped me tremendously and have been on it for 3 weeks. I notice a calming effect but have energy. My anxiety and suicidal ideations have ceased. I'm excited to see where this medication will take me in life since I've been on the wrong meds for so long.,bipolar ii disorder anxiety anxiety helped tremendously weeks notice calming effect energy anxiety suicidal ideations ceased im excited medication life ive wrong meds long,Négatif,-0.7867,     Additional Medications to Treat Depression,39.5,female,4
Dangerous drug.psychosis for the first time in my life AFTER STOPPING.Also had memory loss so complete i had no idea what i was doing about every 20 minutes.had someone live with me i was not ok at all.STOP IT SLOWLY BUT PLEASE STOP THIS DRUG.this was at 5mg.for 2 years.,dangerous drugpsychosis time life stoppingalso memory loss complete idea doing minuteshad live ok allstop slowly stop drugthis mgfor years,Négatif,-0.6597,     Additional Medications to Treat Depression,49.5,female,0
"I think I got hit with every side effect: irritability, weight gain, anxiety, tired but can't sleep, binge shopping, etc. The anxiety got so bad I couldn't concentrate enough to work, so I'm not taking it anymore. I'll take the depression over these side effects any day.",think got hit effect irritability weight gain anxiety tired sleep binge shopping anxiety got bad concentrate work im anymore ill depression day,Négatif,-0.9231,     Additional Medications to Treat Depression,39.5,female,2
"This medication was amazing for my tics, it reduced them by at least 50%, at a point where I was suicidal as a result of them (could not eat because I was unable to stop tic'ing for long enough to do so). I am now, after 4+ years, trying to stop them, as they do make me very sedated through the whole day. My Tourettes is a little bit worse, but a lot better now, even though I have reduced it to 5mg.",medication amazing tics reduced point suicidal result eat unable stop ticing long years trying stop make sedated day tourettes little bit worse lot better reduced,Négatif,-0.6151,     Tourette's,29.5,female,0
Abilify enhanced the effectiveness of the other medications that I take for depression.  It helped me deal with my depression that much better. I had no side effects.,enhanced effectiveness medications depression helped deal depression better,Négatif,-0.6705,     Additional Medications to Treat Depression,59.5,male,3
I took Abilify for my bipolar. I lost control and use of my limbs. I was zombie like and couldn't speak. It was one of the worst drugs I had ever taken.,took bipolar lost control use limbs zombie like speak worst drugs taken,Négatif,-0.5994,     Bipolar I Disorder with Most Recent Episode Mixed,49.5,female,4
Very tired,tired,Négatif,-0.4404,     Schizophrenia,39.5,female,1
The person who made abilify needs to be beaten.This medicine had me looking up and its very distracting.latuda had me sleeping all day.So its more about putting the person to sleep rather than treating the disorder.Todays medicine is so flawed.Scientists and doctors have really failed. Congratulations on being losers.,person needs beatenthis medicine looking distractinglatuda sleeping dayso putting person sleep treating disordertodays medicine flawedscientists doctors really failed congratulations losers,Négatif,-0.4728,     Schizophrenia,29.5,female,1
"I was prescribed this drug after taking Zyprexa. It never made me feel better in any way, and instead, made me feel entirely restless and made me extremely frustrated, both physically and mentally. My mind was racing all the time and even as of now, although I am off this drug, I do still feel some of the restlessness left.",prescribed zyprexa feel better way instead feel entirely restless extremely frustrated physically mentally mind racing time feel restlessness left,Négatif,-0.6858,     Mania associated with Bipolar Disorder,15.5,male,1
Extremely tired since starting to take it. Paranoia has intensified.,extremely tired starting paranoia intensified,Négatif,-0.6659,     Mania associated with Bipolar Disorder,21.5,female,1
After more than TEN years of not taking Abilify I still uncontrolled hand movement and sign to myself all day long.Talking about a loonie tune. It did help during a crisis in my life.,years uncontrolled hand movement sign day longtalking loonie tune did help crisis life,Négatif,-0.0516,     Additional Medications to Treat Depression,59.5,nan,5
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Additional Medications to Treat Depression,49.5,female,1
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Additional Medications to Treat Depression,59.5,female,1
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,male,1
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Mania associated with Bipolar Disorder,49.5,male,1
"I am taking this drug for paranoia and originally was given a dosage of 5 mg. I developed severe anxiety and hyperactivity so my dosage has been decreased to 2.5 mg. I feel edgy all of the time and am forever tired; could sleep all day. I guess it depends on a person's body chemistry, but this isn't working for me.",paranoia originally given dosage developed severe anxiety hyperactivity dosage decreased feel edgy time forever tired sleep day guess depends persons body chemistry isnt working,Négatif,-0.802,     Other,59.5,female,3
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Bipolar I Disorder with Most Recent Episode Mixed,15.5,female,1
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Mania associated with Bipolar Disorder,29.5,female,1
Terrible made me clench my teeth and rock back & forth. Two yrs later I still do it. Terrible side effects for me. not recommended by me.,terrible clench teeth rock forth yrs later terrible recommended,Négatif,-0.6597,     Additional Medications to Treat Depression,69.5,female,4
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Other,69.5,female,1
I was 220 by the time i was 10  I was on it for ADHD didn't help,time adhd didnt help,Négatif,-0.3089,     Other,15.5,female,3
"When first prescribed Abilify, took in the mornings and was very tired and sleepy. Haven't been that way since taking it at nights. Abilify seems to works for me.",prescribed took mornings tired sleepy havent way nights works,Négatif,-0.4404,     Bipolar I Disorder with Most Recent Episode Mixed,59.5,female,3
"I used to be extremely impatient, irritable and had frequent anger bursts.  After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",used extremely impatient irritable frequent anger bursts started bupropion radically changed extremely patient miss old self gogetter family thankful treatment manage life wisely,Négatif,-0.6059,     Additional Medications to Treat Depression,59.5,female,1
Stay tired all the time. Drool.,stay tired time drool,Négatif,-0.4404,     Additional Medications to Treat Depression,59.5,male,2
"It caused ocd and I tried every add on medicine for ocd, it just kept getting worse",caused ocd tried add medicine ocd just kept getting worse,Négatif,-0.4767,     Other,21.5,male,2
"Initially, the ablify helped me dramatically. I have chronic major depression and Abilify was an addi med with an antidepressant. However after about one month, it lost its effectiveness. I have also gained 20  lbs.",initially ablify helped dramatically chronic major depression addi med antidepressant month lost effectiveness gained lbs,Négatif,-0.5267,     Additional Medications to Treat Depression,59.5,male,2
"side effects of bloating, constipation,dizziness and fatigue, weight gain were awful. I looked and felt as though I were 7 mos pregnant. My abdomen was tight and painful. Frequent falls. Already fatigued, this worsened.",bloating constipationdizziness fatigue weight gain awful looked felt mos pregnant abdomen tight painful frequent falls fatigued worsened,Négatif,-0.8316,     Additional Medications to Treat Depression,69.5,female,2
I am forced to take it otherwise they will kill me and I am not paranoid.  I have never heard anyone recommend this drug or say it works.  It causes me to bleed excessively heavily and I am virtually crippled and housebound by it.  Which pleases those who coerce me into using it.,forced kill paranoid heard recommend say works causes bleed excessively heavily virtually crippled housebound pleases coerce using,Négatif,-0.6705,     Other,69.5,female,0
"Helped me mentally... Destroyed me physically. I developed ""an irreversible muscle spasm"" in my eyes. Which used to be a side effect of this medication that they no longer mention. ?? Also, gained 80  pounds. Back to the depression due to weight gain and an inability to functionally see.",helped mentally destroyed physically developed irreversible muscle spasm eyes used effect medication longer mention gained pounds depression weight gain inability functionally,Négatif,-0.6597,     Additional Medications to Treat Depression,39.5,male,2
"Unfortunately it caused a gambling addiction problem, unable to focus, hypersexuality and shopping addiction be aware this is a known side effect but not put on the label.",unfortunately caused gambling addiction problem unable focus hypersexuality shopping addiction aware known effect label,Négatif,-0.6249,     Other,,female,0
"Worked well for a month , then I developed severe ocd, I can't say this med caused this.I lost interest in my normal actives.After switching to a difference medicine , I am doing better.",worked month developed severe ocd say med caused thisi lost normal activesafter switching difference medicine doing better,Négatif,-0.25,     Schizophrenia,15.5,male,2
"Although serving its purpose, I feel restless, anxious, and loss of interest with pretty much everything.  I have never been so aware of boredom.",serving purpose feel restless anxious loss pretty aware boredom,Négatif,-0.5423,     Schizophrenia,15.5,female,1
"At first it worked great! Energy, sex drive and getting up early. Been on it going on 2 months along with Cymbalta. I am back to being tired, need to move when I'm sitting down and losing interest in my hobbies! Worst of all? Brain zaps? Anyone having these? They started with Cymbalta and got worse with Abilify!",worked great energy sex drive getting early going months cymbalta tired need im sitting losing hobbies worst brain zaps having started cymbalta got worse,Négatif,-0.7579,     Additional Medications to Treat Depression,59.5,female,1
At first I was very satisfied with Abilify. It calmed me down for the most part. There were signs of irritability but overall I was okay. The problem I first had was that I didn't feel normal. I felt tingly and lightheaded all day. I could barely walk without tripping or falling. The part that got me was it caused numbness on one side of my face. I felt as if I was having a stroke.,satisfied calmed signs irritability overall okay problem didnt feel normal felt tingly lightheaded day barely walk tripping falling got caused numbness face felt having stroke,Négatif,-0.0609,     Mania associated with Bipolar Disorder,21.5,female,0
"Just started taking this medication, in the smallest dose possible in addition the meds I already take for my ADD. Currently I am experiencing some confusion because my period is (technically) 2 days late according to my birth control package. Just wondering if anyone could assist me and tell me if that has to do with the changing of my medication. It wouldn't of affected my last period cause I just started the meds afterwards.",just started medication smallest dose possible addition meds add currently experiencing confusion period technically days late according birth control package just wondering assist tell changing medication wouldnt affected period cause just started meds,Négatif,-0.1916,     Additional Medications to Treat Depression,15.5,female,2
"When I took it, it immediately picked me up. I went in completely depressed and distraught on Thursday and could hardly get out of bed to go. I was missing so much work. The pyschiatrist gave me Abilify and told me to take Friday (the next day) off but return to work on Monday. I thought he was nuts. There is no way I can go back to work on Monday. Monday comes -- I can wake up no problem and go back to work (although ashamed for missing so much work the previous week).",took immediately picked went completely depressed distraught thursday hardly bed missing work pyschiatrist gave told friday day return work monday thought nuts way work monday monday comes wake problem work ashamed missing work previous week,Négatif,-0.9546,     Additional Medications to Treat Depression,29.5,female,3
